Lp,Periods,Correlation,Methods
233,9,-0.12397523111808817,DARIA-TOPSIS/AVG TOPSIS
234,9,0.10116867259724405,DARIA-VIKOR/AVG VIKOR
235,9,0.9051107622536194,AVG TOPSIS/AVG VIKOR
236,10,0.9030176173033316,DARIA-TOPSIS/DARIA-VIKOR
237,10,0.3103087388801674,DARIA-TOPSIS/AVG TOPSIS
238,10,0.297531833246119,DARIA-VIKOR/AVG VIKOR
239,10,0.9097113204256061,AVG TOPSIS/AVG VIKOR
240,5,0.7516134658991802,DARIA-TOPSIS/DARIA-VIKOR
241,5,0.41245857317285883,DARIA-TOPSIS/AVG TOPSIS
242,5,0.34726582940868655,DARIA-VIKOR/AVG VIKOR
243,5,0.8920722135007849,AVG TOPSIS/AVG VIKOR
244,6,0.9669893598465027,DARIA-TOPSIS/DARIA-VIKOR
245,6,0.19490231990231988,DARIA-TOPSIS/AVG TOPSIS
246,6,0.15016134658991798,DARIA-VIKOR/AVG VIKOR
247,6,0.9214634571777429,AVG TOPSIS/AVG VIKOR
248,7,0.7994941566370137,DARIA-TOPSIS/DARIA-VIKOR
249,7,0.29127420198848775,DARIA-TOPSIS/AVG TOPSIS
250,7,0.34584859584859584,DARIA-VIKOR/AVG VIKOR
251,7,0.8890197104482819,AVG TOPSIS/AVG VIKOR
252,8,0.9378597592883308,DARIA-TOPSIS/DARIA-VIKOR
253,8,0.2995595674167103,DARIA-TOPSIS/AVG TOPSIS
254,8,0.16871620443049018,DARIA-VIKOR/AVG VIKOR
255,8,0.8024158381301238,AVG TOPSIS/AVG VIKOR
256,9,0.9333246118960404,DARIA-TOPSIS/DARIA-VIKOR
257,9,0.22108843537414968,DARIA-TOPSIS/AVG TOPSIS
258,9,0.2964634571777429,DARIA-VIKOR/AVG VIKOR
259,9,0.8899790685504971,AVG TOPSIS/AVG VIKOR
260,10,0.8075832897261469,DARIA-TOPSIS/DARIA-VIKOR
261,10,0.03527821384964247,DARIA-TOPSIS/AVG TOPSIS
262,10,0.27834467120181405,DARIA-VIKOR/AVG VIKOR
263,10,0.8242412349555207,AVG TOPSIS/AVG VIKOR
264,5,0.9177350427350427,DARIA-TOPSIS/DARIA-VIKOR
265,5,-0.01770451770451764,DARIA-TOPSIS/AVG TOPSIS
266,5,0.12085731728588867,DARIA-VIKOR/AVG VIKOR
267,5,0.7800017442874586,AVG TOPSIS/AVG VIKOR
268,6,0.7745944531658817,DARIA-TOPSIS/DARIA-VIKOR
269,6,0.0910954125239839,DARIA-TOPSIS/AVG TOPSIS
270,6,-0.032836211407639926,DARIA-VIKOR/AVG VIKOR
271,6,0.9446406767835339,AVG TOPSIS/AVG VIKOR
272,7,0.9251700680272109,DARIA-TOPSIS/DARIA-VIKOR
273,7,-0.0453514739229024,DARIA-TOPSIS/AVG TOPSIS
274,7,0.026796616082330416,DARIA-VIKOR/AVG VIKOR
275,7,0.9223137973137974,AVG TOPSIS/AVG VIKOR
276,8,0.8455869527298099,DARIA-TOPSIS/DARIA-VIKOR
277,8,0.2575222396650968,DARIA-TOPSIS/AVG TOPSIS
278,8,0.32932147217861507,DARIA-VIKOR/AVG VIKOR
279,8,0.9350907029478458,AVG TOPSIS/AVG VIKOR
280,9,0.7153976975405547,DARIA-TOPSIS/DARIA-VIKOR
281,9,-0.10520233734519446,DARIA-TOPSIS/AVG TOPSIS
282,9,0.12875021803593234,DARIA-VIKOR/AVG VIKOR
283,9,0.9050671550671551,AVG TOPSIS/AVG VIKOR
284,10,0.7685984650270364,DARIA-TOPSIS/DARIA-VIKOR
285,10,0.31527995813710097,DARIA-TOPSIS/AVG TOPSIS
286,10,0.026382347810919193,DARIA-VIKOR/AVG VIKOR
287,10,0.8885618349904064,AVG TOPSIS/AVG VIKOR
288,5,0.7989054596197454,DARIA-TOPSIS/DARIA-VIKOR
289,5,-0.0992281527995813,DARIA-TOPSIS/AVG TOPSIS
290,5,-0.07166841095412524,DARIA-VIKOR/AVG VIKOR
291,5,0.9739010989010989,AVG TOPSIS/AVG VIKOR
292,6,0.8384353741496599,DARIA-TOPSIS/DARIA-VIKOR
293,6,-0.05723443223443225,DARIA-TOPSIS/AVG TOPSIS
294,6,0.24600994243851382,DARIA-VIKOR/AVG VIKOR
295,6,0.9534711320425606,AVG TOPSIS/AVG VIKOR
296,7,0.9252790859933717,DARIA-TOPSIS/DARIA-VIKOR
297,7,0.28604133961276823,DARIA-TOPSIS/AVG TOPSIS
298,7,0.21341357055642773,DARIA-VIKOR/AVG VIKOR
299,7,0.950091575091575,AVG TOPSIS/AVG VIKOR
300,8,0.6927219605791035,DARIA-TOPSIS/DARIA-VIKOR
301,8,0.1438601081458224,DARIA-TOPSIS/AVG TOPSIS
302,8,0.26968864468864473,DARIA-VIKOR/AVG VIKOR
303,8,0.92213936856794,AVG TOPSIS/AVG VIKOR
304,9,0.8314146171289029,DARIA-TOPSIS/DARIA-VIKOR
305,9,-0.014215942787371372,DARIA-TOPSIS/AVG TOPSIS
306,9,0.05409471480900052,DARIA-VIKOR/AVG VIKOR
307,9,0.9473225187510902,AVG TOPSIS/AVG VIKOR
308,10,0.7360020931449502,DARIA-TOPSIS/DARIA-VIKOR
309,10,0.19599249956392817,DARIA-TOPSIS/AVG TOPSIS
310,10,-0.10293476364904941,DARIA-VIKOR/AVG VIKOR
311,10,0.8587781266352694,AVG TOPSIS/AVG VIKOR
