Lp,Alternatives,Correlation,Methods
315,100,0.9196840476126821,AVG TOPSIS/AVG VIKOR
316,200,0.8166531178204828,DARIA-TOPSIS/DARIA-VIKOR
317,200,0.21746431720494508,DARIA-TOPSIS/AVG TOPSIS
318,200,0.19932121437364292,DARIA-VIKOR/AVG VIKOR
319,200,0.8954890140910239,AVG TOPSIS/AVG VIKOR
320,10,0.7278236914600551,DARIA-TOPSIS/DARIA-VIKOR
321,10,0.6231404958677687,DARIA-TOPSIS/AVG TOPSIS
322,10,0.8721763085399449,DARIA-VIKOR/AVG VIKOR
323,10,0.9261707988980716,AVG TOPSIS/AVG VIKOR
324,30,0.8378700348056981,DARIA-TOPSIS/DARIA-VIKOR
325,30,0.21453945243819295,DARIA-TOPSIS/AVG TOPSIS
326,30,0.18846029638666617,DARIA-VIKOR/AVG VIKOR
327,30,0.8928845670817037,AVG TOPSIS/AVG VIKOR
328,50,0.9127274439187439,DARIA-TOPSIS/DARIA-VIKOR
329,50,0.39490902243250237,DARIA-TOPSIS/AVG TOPSIS
330,50,0.19382152861144453,DARIA-VIKOR/AVG VIKOR
331,50,0.90473365816915,AVG TOPSIS/AVG VIKOR
332,100,0.7394478853825976,DARIA-TOPSIS/DARIA-VIKOR
333,100,0.12039306900987123,DARIA-TOPSIS/AVG TOPSIS
334,100,0.20230423042304235,DARIA-VIKOR/AVG VIKOR
335,100,0.9053124322333224,AVG TOPSIS/AVG VIKOR
336,200,0.8265632312449602,DARIA-TOPSIS/DARIA-VIKOR
337,200,0.2795698922323805,DARIA-TOPSIS/AVG TOPSIS
338,200,0.2560756257712413,DARIA-VIKOR/AVG VIKOR
339,200,0.8876741321518112,AVG TOPSIS/AVG VIKOR
340,10,0.7597796143250689,DARIA-TOPSIS/DARIA-VIKOR
341,10,0.3421487603305785,DARIA-TOPSIS/AVG TOPSIS
342,10,0.19779614325068873,DARIA-VIKOR/AVG VIKOR
343,10,0.9151515151515152,AVG TOPSIS/AVG VIKOR
344,30,0.8703792744626646,DARIA-TOPSIS/DARIA-VIKOR
345,30,0.32613297929599194,DARIA-TOPSIS/AVG TOPSIS
346,30,0.2249022211058883,DARIA-VIKOR/AVG VIKOR
347,30,0.901840754960709,AVG TOPSIS/AVG VIKOR
348,50,0.8946402090247864,DARIA-TOPSIS/DARIA-VIKOR
349,50,0.5314624673398771,DARIA-TOPSIS/AVG TOPSIS
350,50,0.37662406138926163,DARIA-VIKOR/AVG VIKOR
351,50,0.9153054162841607,AVG TOPSIS/AVG VIKOR
352,100,0.745877558052835,DARIA-TOPSIS/DARIA-VIKOR
353,100,0.27322098546488316,DARIA-TOPSIS/AVG TOPSIS
354,100,0.3002190516081311,DARIA-VIKOR/AVG VIKOR
355,100,0.8996166151268592,AVG TOPSIS/AVG VIKOR
356,200,0.8786630859801345,DARIA-TOPSIS/DARIA-VIKOR
357,200,-0.0036041721938571136,DARIA-TOPSIS/AVG TOPSIS
358,200,0.0580225475786148,DARIA-VIKOR/AVG VIKOR
359,200,0.882506958196343,AVG TOPSIS/AVG VIKOR
360,10,0.7366391184573002,DARIA-TOPSIS/DARIA-VIKOR
361,10,0.5493112947658403,DARIA-TOPSIS/AVG TOPSIS
362,10,0.3421487603305785,DARIA-VIKOR/AVG VIKOR
363,10,0.9184573002754821,AVG TOPSIS/AVG VIKOR
364,30,0.8611790878754171,DARIA-TOPSIS/DARIA-VIKOR
365,30,-0.13529728372026262,DARIA-TOPSIS/AVG TOPSIS
366,30,-0.249431267716818,DARIA-VIKOR/AVG VIKOR
367,30,0.9614625569629337,AVG TOPSIS/AVG VIKOR
368,50,0.8411355130287409,DARIA-TOPSIS/DARIA-VIKOR
