Lp,Criteria,Correlation,Methods
244,8,0.7567809174952032,DARIA-TOPSIS/DARIA-VIKOR
245,8,0.22987528344671204,DARIA-TOPSIS/AVG TOPSIS
246,8,0.22296354439211585,DARIA-VIKOR/AVG VIKOR
247,8,0.8790336647479504,AVG TOPSIS/AVG VIKOR
248,10,0.8120094191522763,DARIA-TOPSIS/DARIA-VIKOR
249,10,0.34384266527123675,DARIA-TOPSIS/AVG TOPSIS
250,10,0.27422379208093495,DARIA-VIKOR/AVG VIKOR
251,10,0.9461233211233211,AVG TOPSIS/AVG VIKOR
252,16,0.8732339089481946,DARIA-TOPSIS/DARIA-VIKOR
253,16,0.3420765742194314,DARIA-TOPSIS/AVG TOPSIS
254,16,0.3424908424908425,DARIA-VIKOR/AVG VIKOR
255,16,0.911281179138322,AVG TOPSIS/AVG VIKOR
256,24,0.5724533403104832,DARIA-TOPSIS/DARIA-VIKOR
257,24,0.34185853828710977,DARIA-TOPSIS/AVG TOPSIS
258,24,0.23890197104482824,DARIA-VIKOR/AVG VIKOR
259,24,0.8808869701726845,AVG TOPSIS/AVG VIKOR
260,32,0.5494723530437816,DARIA-TOPSIS/DARIA-VIKOR
261,32,0.2810047095761381,DARIA-TOPSIS/AVG TOPSIS
262,32,0.08093493807779517,DARIA-VIKOR/AVG VIKOR
263,32,0.9064407814407814,AVG TOPSIS/AVG VIKOR
264,6,0.8819117390545962,DARIA-TOPSIS/DARIA-VIKOR
265,6,0.35208442351299496,DARIA-TOPSIS/AVG TOPSIS
266,6,0.39120006977149835,DARIA-VIKOR/AVG VIKOR
267,6,0.9737266701552416,AVG TOPSIS/AVG VIKOR
268,8,0.910365428222571,DARIA-TOPSIS/DARIA-VIKOR
269,8,0.09938077795220657,DARIA-TOPSIS/AVG TOPSIS
270,8,-0.013452817024245611,DARIA-VIKOR/AVG VIKOR
271,8,0.9485871271585558,AVG TOPSIS/AVG VIKOR
272,10,0.7955040990755277,DARIA-TOPSIS/DARIA-VIKOR
273,10,0.3232164660736089,DARIA-TOPSIS/AVG TOPSIS
274,10,0.306667538810396,DARIA-VIKOR/AVG VIKOR
275,10,0.8174385138670853,AVG TOPSIS/AVG VIKOR
276,16,0.9083376940519797,DARIA-TOPSIS/DARIA-VIKOR
277,16,0.07419762776905636,DARIA-TOPSIS/AVG TOPSIS
278,16,-0.014935461364032898,DARIA-VIKOR/AVG VIKOR
279,16,0.8429269143554858,AVG TOPSIS/AVG VIKOR
280,24,0.7856052677481249,DARIA-TOPSIS/DARIA-VIKOR
281,24,0.373408337694052,DARIA-TOPSIS/AVG TOPSIS
282,24,0.09805075876504443,DARIA-VIKOR/AVG VIKOR
283,24,0.8644906680620966,AVG TOPSIS/AVG VIKOR
284,32,0.759789813361242,DARIA-TOPSIS/DARIA-VIKOR
285,32,0.2252311180882609,DARIA-TOPSIS/AVG TOPSIS
286,32,0.07275859061573342,DARIA-VIKOR/AVG VIKOR
287,32,0.7838391766963195,AVG TOPSIS/AVG VIKOR
288,6,0.6854177568463282,DARIA-TOPSIS/DARIA-VIKOR
289,6,0.3295395081109367,DARIA-TOPSIS/AVG TOPSIS
290,6,-0.28817809174952025,DARIA-VIKOR/AVG VIKOR
291,6,0.8695054945054945,AVG TOPSIS/AVG VIKOR
292,8,0.765894819466248,DARIA-TOPSIS/DARIA-VIKOR
293,8,0.34373364730507583,DARIA-TOPSIS/AVG TOPSIS
294,8,0.4323870573870574,DARIA-VIKOR/AVG VIKOR
295,8,0.9465593929879644,AVG TOPSIS/AVG VIKOR
296,10,0.8931841967556253,DARIA-TOPSIS/DARIA-VIKOR
297,10,0.1512733298447584,DARIA-TOPSIS/AVG TOPSIS
298,10,0.031658817373103054,DARIA-VIKOR/AVG VIKOR
299,10,0.8974577010291296,AVG TOPSIS/AVG VIKOR
300,16,0.8152581545438689,DARIA-TOPSIS/DARIA-VIKOR
301,16,0.16847636490493634,DARIA-TOPSIS/AVG TOPSIS
302,16,0.14880952380952384,DARIA-VIKOR/AVG VIKOR
303,16,0.9613204256061398,AVG TOPSIS/AVG VIKOR
304,24,0.7904238618524333,DARIA-TOPSIS/DARIA-VIKOR
305,24,0.19856532356532353,DARIA-TOPSIS/AVG TOPSIS
306,24,0.17320774463631605,DARIA-VIKOR/AVG VIKOR
307,24,0.9058956916099773,AVG TOPSIS/AVG VIKOR
308,32,0.7526818419675563,DARIA-TOPSIS/DARIA-VIKOR
309,32,0.11348770277341702,DARIA-TOPSIS/AVG TOPSIS
310,32,0.12227455084597938,DARIA-VIKOR/AVG VIKOR
311,32,0.8434065934065934,AVG TOPSIS/AVG VIKOR
312,6,0.9232949590092447,DARIA-TOPSIS/DARIA-VIKOR
313,6,0.411019536019536,DARIA-TOPSIS/AVG TOPSIS
314,6,0.32077446363160644,DARIA-VIKOR/AVG VIKOR
315,6,0.8926391069248212,AVG TOPSIS/AVG VIKOR
316,8,0.9063099598813884,DARIA-TOPSIS/DARIA-VIKOR
317,8,0.23680882609454035,DARIA-TOPSIS/AVG TOPSIS
318,8,0.22878510378510375,DARIA-VIKOR/AVG VIKOR
319,8,0.8769405197976626,AVG TOPSIS/AVG VIKOR
320,10,0.9076617826617827,DARIA-TOPSIS/DARIA-VIKOR
321,10,0.1563971742543171,DARIA-TOPSIS/AVG TOPSIS
322,10,0.0927960927960928,DARIA-VIKOR/AVG VIKOR
323,10,0.8807561486132914,AVG TOPSIS/AVG VIKOR
324,16,0.8385443921158207,DARIA-TOPSIS/DARIA-VIKOR
325,16,-0.1805773591487878,DARIA-TOPSIS/AVG TOPSIS
326,16,-0.10280394208965649,DARIA-VIKOR/AVG VIKOR
327,16,0.9377289377289377,AVG TOPSIS/AVG VIKOR
328,24,0.7897043432757719,DARIA-TOPSIS/DARIA-VIKOR
329,24,0.1355311355311355,DARIA-TOPSIS/AVG TOPSIS
330,24,-0.04720477934763645,DARIA-VIKOR/AVG VIKOR
331,24,0.8805163090877377,AVG TOPSIS/AVG VIKOR
332,32,0.4841269841269841,DARIA-TOPSIS/DARIA-VIKOR
333,32,-0.04718297575440422,DARIA-TOPSIS/AVG TOPSIS
334,32,-0.0700113378684808,DARIA-VIKOR/AVG VIKOR
335,32,0.8879949415663702,AVG TOPSIS/AVG VIKOR
336,6,0.9355485784057213,DARIA-TOPSIS/DARIA-VIKOR
337,6,-0.08071690214547367,DARIA-TOPSIS/AVG TOPSIS
338,6,-0.08858799930228511,DARIA-VIKOR/AVG VIKOR
339,6,0.9439211582068725,AVG TOPSIS/AVG VIKOR
340,8,0.706828885400314,DARIA-TOPSIS/DARIA-VIKOR
341,8,0.022174254317111508,DARIA-TOPSIS/AVG TOPSIS
342,8,0.003772021629164457,DARIA-VIKOR/AVG VIKOR
343,8,0.8695927088784232,AVG TOPSIS/AVG VIKOR
344,10,0.8470695970695971,DARIA-TOPSIS/DARIA-VIKOR
345,10,0.3813012384440956,DARIA-TOPSIS/AVG TOPSIS
346,10,0.34674254317111464,DARIA-VIKOR/AVG VIKOR
347,10,0.8945578231292517,AVG TOPSIS/AVG VIKOR
348,16,0.8266396302110588,DARIA-TOPSIS/DARIA-VIKOR
349,16,0.5799101691958835,DARIA-TOPSIS/AVG TOPSIS
350,16,0.48026774812489104,DARIA-VIKOR/AVG VIKOR
351,16,0.9012079190650619,AVG TOPSIS/AVG VIKOR
352,24,0.9029958137100994,DARIA-TOPSIS/DARIA-VIKOR
353,24,0.5232644339787197,DARIA-TOPSIS/AVG TOPSIS
354,24,0.5706872492586779,DARIA-VIKOR/AVG VIKOR
355,24,0.9039551718123147,AVG TOPSIS/AVG VIKOR
356,32,0.8323303680446538,DARIA-TOPSIS/DARIA-VIKOR
357,32,0.4256715506715507,DARIA-TOPSIS/AVG TOPSIS
358,32,0.26672335600907027,DARIA-VIKOR/AVG VIKOR
359,32,0.7628205128205128,AVG TOPSIS/AVG VIKOR
360,6,0.8550497121925693,DARIA-TOPSIS/DARIA-VIKOR
361,6,0.12822693179836042,DARIA-TOPSIS/AVG TOPSIS
362,6,0.23809523809523814,DARIA-VIKOR/AVG VIKOR
363,6,0.9604264782836212,AVG TOPSIS/AVG VIKOR
364,8,0.8840484911913483,DARIA-TOPSIS/DARIA-VIKOR
365,8,0.1487877202162916,DARIA-TOPSIS/AVG TOPSIS
366,8,0.3026556776556777,DARIA-VIKOR/AVG VIKOR
367,8,0.8852476888191174,AVG TOPSIS/AVG VIKOR
368,10,0.9251046572475143,DARIA-TOPSIS/DARIA-VIKOR
369,10,0.07009855224140937,DARIA-TOPSIS/AVG TOPSIS
370,10,0.1938339438339438,DARIA-VIKOR/AVG VIKOR
371,10,0.878052503052503,AVG TOPSIS/AVG VIKOR
372,16,0.8396127681841967,DARIA-TOPSIS/DARIA-VIKOR
373,16,0.2313361241932671,DARIA-TOPSIS/AVG TOPSIS
374,16,0.12013779870922725,DARIA-VIKOR/AVG VIKOR
375,16,0.9486525379382522,AVG TOPSIS/AVG VIKOR
376,24,0.9519012733298448,DARIA-TOPSIS/DARIA-VIKOR
377,24,0.4007064364207221,DARIA-TOPSIS/AVG TOPSIS
378,24,0.3042691435548578,DARIA-VIKOR/AVG VIKOR
379,24,0.8682844932844933,AVG TOPSIS/AVG VIKOR
380,32,0.63718820861678,DARIA-TOPSIS/DARIA-VIKOR
381,32,0.05418192918192921,DARIA-TOPSIS/AVG TOPSIS
382,32,-0.17072213500784938,DARIA-VIKOR/AVG VIKOR
383,32,0.9026905634048491,AVG TOPSIS/AVG VIKOR
384,6,0.7899223792080935,DARIA-TOPSIS/DARIA-VIKOR
385,6,-0.10555119483690922,DARIA-TOPSIS/AVG TOPSIS
386,6,-0.08930751787894642,DARIA-VIKOR/AVG VIKOR
387,6,0.8367346938775511,AVG TOPSIS/AVG VIKOR
388,8,0.8654718297575441,DARIA-TOPSIS/DARIA-VIKOR
389,8,0.19978632478632474,DARIA-TOPSIS/AVG TOPSIS
390,8,0.16950113378684806,DARIA-VIKOR/AVG VIKOR
391,8,0.9580498866213152,AVG TOPSIS/AVG VIKOR
392,10,0.7750741322169894,DARIA-TOPSIS/DARIA-VIKOR
393,10,0.1612157683586255,DARIA-TOPSIS/AVG TOPSIS
394,10,0.38758067329495904,DARIA-VIKOR/AVG VIKOR
395,10,0.8904369440083726,AVG TOPSIS/AVG VIKOR
396,16,0.8783577533577533,DARIA-TOPSIS/DARIA-VIKOR
397,16,0.32731554160125587,DARIA-TOPSIS/AVG TOPSIS
398,16,0.14983429269143556,DARIA-VIKOR/AVG VIKOR
399,16,0.7633437990580848,AVG TOPSIS/AVG VIKOR
400,24,0.888234781091924,DARIA-TOPSIS/DARIA-VIKOR
401,24,-0.004404325832897182,DARIA-TOPSIS/AVG TOPSIS
402,24,-0.16869440083725795,DARIA-VIKOR/AVG VIKOR
403,24,0.9457744636316064,AVG TOPSIS/AVG VIKOR
404,32,0.9199808128379557,DARIA-TOPSIS/DARIA-VIKOR
405,32,0.020648002790859987,DARIA-TOPSIS/AVG TOPSIS
406,32,-0.07269317983603707,DARIA-VIKOR/AVG VIKOR
407,32,0.8331152974010116,AVG TOPSIS/AVG VIKOR
